Country,Gdp_per_cap
Afghanistan,584.6132813228421
Albania,3730.976373239596
Algeria,4505.385917557857
Andorra,38332.23358424332
Angola,480.08238566919744
Antigua and Barbuda,15055.143772011772
Argentina,1806.6963605005246
Armenia,3425.1001144410006
Aruba,25588.945277846888
Australia,64222.89164387648
Austria,44200.57759278332
Azerbaijan,2977.8504443132515
Bahrain,22512.688635641753
Bangladesh,1855.0224253302263
Barbados,16267.219261642605
Belarus,7680.262859372459
Belgium,41072.862279759
Belize,6139.287723715114
Benin,1040.8644023209827
Bermuda,99371.97336014004
Bhutan,3127.607526331402
Bosnia and Herzegovina,4599.9228129990315
Botswana,6568.512799199719
Brazil,6016.065849428798
Brunei Darussalam,32095.518304395428
Bulgaria,6947.635034250422
Burkina Faso,631.6483245369075
Burundi,92.47383474660529
Cabo Verde,2890.7121698909386
Cambodia,685.3429458105709
Cameroon,1407.8725013101016
Canada,43658.19151091094
Cayman Islands,77295.85711940372
Central African Republic,228.5702923656062
Chad,884.624197773414
Chile,15204.09130194472
China,7964.3230014624905
Colombia,6218.202278247447
Comoros,1138.605354107112
Costa Rica,12091.884526801108
Croatia,11808.454140309273
Cuba,4810.069638211222
Cyprus,23426.301066971595
Czechia,17864.272955448214
Denmark,53365.77784760143
Djibouti,2357.378265062641
Dominica,6292.333729159019
Dominican Republic,4465.629199058753
Ecuador,4332.866239867344
El Salvador,3712.9619982502577
Equatorial Guinea,8374.022134939856
Estonia,17404.964330620078
Eswatini,2731.9207760102363
Ethiopia,679.5770650083253
Fiji,4979.131932988673
Finland,42704.93028420131
France,36957.691879451464
French Polynesia,16491.56645676693
Gabon,4455.189548220316
Georgia,3965.3016635323293
Germany,40939.051183390795
Ghana,1234.6464628613378
Greece,18136.99557522083
Greenland,38059.18955591782
Grenada,6808.280704023524
Guatemala,3695.8127612272356
Guinea,564.5000064145287
Guinea-Bissau,405.269174932622
Guyana,5651.785963811705
Haiti,1158.7985611294334
Honduras,931.9842617125347
Hungary,12697.772891900508
Iceland,52912.49477134054
India,1341.7466098365283
Indonesia,2589.7395906144943
Iraq,4171.548074673761
Ireland,62583.5876684613
Israel,37463.576038196865
Italy,30548.08612421921
Jamaica,2617.779863441006
Japan,34891.689163489275
Jordan,4119.608412426938
Kazakhstan,3258.511273994129
Kenya,1584.2044340551586
Kiribati,1136.2732275693077
Kosovo,3065.4659057429835
Kuwait,33745.737467713734
Latvia,13681.09652426887
Lebanon,6644.186848943984
Lesotho,803.696257702794
Liberia,619.0166012811278
Libya,8549.458059049948
Lithuania,13975.086748105872
Luxembourg,105455.89574435203
Madagascar,257.735103256292
Malawi,645.1727122262283
Malaysia,9688.165628879591
Maldives,9843.979360147685
Mali,413.5756431224251
Malta,24282.78099956415
Marshall Islands,3733.5492890062596
Mauritania,1641.4147762982573
Mauritius,9824.155523993235
Mexico,11580.98703692114
Monaco,168354.32491912076
Mongolia,3919.35121421746
Montenegro,5982.229522021253
Morocco,3074.2704761855534
Mozambique,781.915724225579
Myanmar,1237.7772287691166
Namibia,4965.673072292373
Nauru,9146.80489451033
Nepal,658.672898632109
Netherlands,44891.449833628765
New Zealand,38774.97228025156
Nicaragua,990.9845840110899
Niger,480.74728931518905
Nigeria,1972.410167281194
North Macedonia,3615.345954033245
Norway,74368.69455582622
Oman,20454.89973920227
Pakistan,1420.7698841515703
Palau,16270.701859228311
Panama,14799.902288505957
Papua New Guinea,2402.6095922971426
Paraguay,5768.875588636048
Peru,4938.7177297079525
Philippines,3192.9169175718976
Poland,12372.531154785656
Portugal,19198.422449226684
Puerto Rico,2941.4102565049984
Qatar,73997.64456214444
Romania,4748.711651858179
Russian Federation,9668.189701712647
Rwanda,831.7294097515828
Samoa,3911.7750460899542
San Marino,38221.570744367746
Sao Tome and Principe,931.5056172663553
Saudi Arabia,20651.176068362864
Senegal,1224.1002756846995
Serbia,5273.751028127417
Seychelles,13947.942636943055
Sierra Leone,228.5888727365503
Singapore,54513.10066622797
Sint Maarten (Dutch part),34723.7369222585
Slovenia,20707.84770686379
Solomon Islands,1946.5387309445841
Somalia,543.5631600130564
South Africa,6192.227047517526
Spain,25844.611598777396
Sri Lanka,3777.7204483899263
St. Vincent and the Grenadines,7610.815116852999
Sudan,90.13958178831805
Suriname,8908.01766032089
Sweden,51272.424197782006
Switzerland,84764.87768500598
Syrian Arab Republic,155.8677333542385
Tajikistan,104.20712646714256
Thailand,3952.109277188142
Timor-Leste,1322.2705211755158
Togo,780.7790684154618
Tonga,4135.782134925353
Trinidad and Tobago,20004.742474936673
Tunisia,3960.9233977411254
Turkmenistan,2407.879393890546
Turks and Caicos Islands,24341.06409765176
Tuvalu,3599.1916719983938
Uganda,857.1750949486647
Ukraine,2369.6883155115447
United Arab Emirates,41137.977687468316
United Kingdom,44921.863860565965
United States,56067.664873191454
Uruguay,18144.274747027182
Uzbekistan,1406.276093545954
Vanuatu,2059.489268775605
Viet Nam,1846.1133542064765
Zambia,875.0971000085492
Zimbabwe,14511.15822375882
