Country,Growth
Afghanistan,-847066455.9959375
Albania,799514460.8044924
Algeria,-6313122974.712593
Andorra,24699812.416765176
Angola,-1893363673.6037009
Antigua and Barbuda,-3497040.8821182675
Argentina,-11436926363.659204
Armenia,270283435.89663535
Aruba,-15250336.768359864
Australia,27888709180.786358
Austria,6250087607.78622
Azerbaijan,-1268345226.1016655
Bahrain,442929383.46160626
Bangladesh,8791038472.656893
Barbados,-108421626.10866003
Belarus,-3382626219.2568464
Belgium,8697623937.283049
Belize,5800127.440557957
Benin,885946318.6571982
Bermuda,-16065650.299844468
Bhutan,-54663732.992545664
Bosnia and Herzegovina,616162589.3191825
Botswana,66776499.12581301
Brazil,-84735132730.47163
Brunei Darussalam,153092176.87517998
Bulgaria,1786552653.4273074
Burkina Faso,906152376.1341566
Burundi,16454286.709488204
Cabo Verde,28773527.107705098
Cambodia,519089191.2275623
Cameroon,1481554280.778006
Canada,18679275058.598694
Cayman Islands,82999273.26703371
Central African Republic,48304193.45131254
Chad,195738913.38348284
Chile,-4114522118.657381
China,639015792006.5618
Colombia,-9713097603.553913
Comoros,34029929.14291335
Costa Rica,-59174836.90562248
Croatia,1735553197.7318645
Cuba,-4833367229.166265
Cyprus,1124159276.477164
Czechia,7758808243.330723
Denmark,8371090973.4926405
Djibouti,170414626.31267917
Dominica,-6925256.844657859
Dominican Republic,-120544035.82913426
Ecuador,-306917297.5433491
El Salvador,244870916.1843301
Equatorial Guinea,-411095843.26768637
Estonia,1194219888.4496944
Eswatini,-15865819.538091216
Ethiopia,-2970918985.4073167
Fiji,-95675588.06323774
Finland,5432251345.472519
France,37101460749.66177
French Polynesia,75217879.50943875
Gabon,100788739.36969838
Georgia,-417564210.8857042
Germany,57342189550.63496
Ghana,-1031092125.7172616
Greece,1866956637.2121973
Greenland,55572316.32470233
Grenada,181596.39669792567
Guatemala,1600584963.1866176
Guinea,221873993.3717047
Guinea-Bissau,23020084.19473938
Guyana,678925181.8423752
Haiti,-868205318.1037498
Honduras,53579540.0383046
Hungary,1694907366.261078
Iceland,200624084.31112698
India,30312449305.366592
Indonesia,14641694323.331062
Iraq,-2869141050.314342
Ireland,29154725439.431797
Israel,22865666600.677326
Italy,10452663344.083242
Jamaica,-272746329.43104595
Japan,47662545572.18848
Jordan,565918247.9495833
Kazakhstan,-2859880072.8919086
Kenya,2121924978.4697537
Kiribati,352852.1010431307
Kosovo,257085457.41632408
Kuwait,-2352935963.15126
Latvia,872035998.8402057
Lebanon,-6025717307.991374
Lesotho,-62061929.96662816
Liberia,-53246879.14672383
Libya,-4212412545.122391
Lithuania,2020052837.0156558
Luxembourg,2082560894.3189101
Madagascar,-162362995.31975323
Malawi,-76250572.24285398
Malaysia,6798948185.149826
Maldives,102501873.59110275
Mali,380549390.75003225
Malta,718959492.1358733
Marshall Islands,7910410.392265679
Mauritania,158453247.11383244
Mauritius,-300921804.95157415
Mexico,-45257035963.06355
Monaco,202558867.3946422
Mongolia,-322322123.4568768
Montenegro,91243588.13877912
Morocco,3412997272.8850126
Mozambique,-665240378.9544661
Myanmar,-3033561050.9750795
Namibia,-394644466.746941
Nauru,-535634.2204599534
Nepal,366001436.90288216
Netherlands,18756141807.091278
New Zealand,3501540205.156957
Nicaragua,-221479187.99854952
Niger,675899221.4633824
Nigeria,-24592512351.51277
North Macedonia,164887289.5527915
Norway,-3788374167.714497
Oman,283938525.2693934
Pakistan,-15164657314.99331
Palau,-10966093.534916481
Panama,-32306107.683815546
Papua New Guinea,-360370981.06889313
Paraguay,-727548443.7900399
Peru,-1496145830.1805801
Philippines,7367506174.680363
Poland,18016814956.5786
Portugal,4050544176.6269736
Puerto Rico,-180474494.22600397
Qatar,-89954671.32988085
Romania,2821591591.9372725
Russian Federation,-23178222340.121616
Rwanda,56498738.0579323
Samoa,-6570001.585374172
San Marino,8607454.157171564
Sao Tome and Principe,1959085.7023977668
Saudi Arabia,2130637037.9858878
Senegal,1274265872.4737375
Serbia,2177165546.289587
Seychelles,-34771727.36229708
Sierra Leone,-107206200.27551897
Singapore,6351063035.24617
Sint Maarten (Dutch part),-54492913.46890981
Slovenia,1843159640.855888
Solomon Islands,15453848.894034998
Somalia,77937001.68099202
South Africa,-8130448436.557321
Spain,13359832906.234688
Sri Lanka,-3119257729.6752915
St. Vincent and the Grenadines,8755197.00782706
Sudan,-665059972.4331598
Suriname,-520716147.12462205
Sweden,3467442876.139201
Switzerland,16766983195.476095
Syrian Arab Republic,-295066227.6398398
Tajikistan,-18531490.88669872
Thailand,10394608545.775053
Timor-Leste,48044198.8179045
Togo,304957005.5268831
Tonga,349545.6991857035
Trinidad and Tobago,-1007932649.548154
Tunisia,-2342706200.2746744
Turkmenistan,791877012.6244804
Turks and Caicos Islands,-25713182.88227104
Tuvalu,1238473.6081649147
Uganda,899379217.3559545
Ukraine,-885970095.9599576
United Arab Emirates,5023949110.084516
United Kingdom,-35353935250.31194
United States,348116812870.62164
Uruguay,-4090675999.040329
Uzbekistan,-5295488134.186036
Vanuatu,4867343.067691338
Viet Nam,8897622436.434208
Zambia,-1262514271.1076148
Zimbabwe,-43317145321.975464
